V1	V2	V3	V4	V5	V6	V7	V8	V9	V10
1.81356800361151	3.13640984803589	4.30536624794255	4.60179521927918	0.718894434612922	6	0.786181549814487	29	Tb.NPl	1
3.15170754665124	3.13541340188498	3.97266152067454	4.4460321078881	1.06372127743472	15	0.851661376225277	28	Tb.NPl	2
3.00030239595517	2.92263027140872	3.80467472730309	4.24516293821715	0.949215467166241	15	0.887798482610174	29	Tb.NPl	3
2.46461037868836	3.07727203261709	4.22794903701156	4.72783624312647	0.667906817258283	12	0.766631303394447	28	Tb.NPl	4
5.17030006879366	3.06078370931728	4.33292669126524	4.66655299068079	0.868868166131455	17	0.87819612775276	28	Tb.NPl	5
2.95788557981997	3.03924242824372	3.965792578525	4.20112417687677	0.891163458014966	14	0.810617408569434	29	Tb.NPl	6
3.08180972695136	2.96478985736058	3.91215102179948	4.17875137741201	0.842742973416927	13	0.813343181908255	30	Tb.NPl	7
2.95265435126622	3.09505893397232	4.26640034654051	4.57370703876415	0.837570814588295	15	0.825386193518279	29	Tb.NPl	8
3.59242357324751	3.10610177692711	4.45362401136498	4.64604884504924	0.844241815708028	15	0.856500822324236	30	Tb.NPl	9
3.18844569515971	3.14735988722389	4.22321079362193	4.59439731705764	0.85185585678941	11	0.820983280646321	30	Tb.NPl	10
2.8493421386519	2.98833409852111	4.15885679341634	4.45422187627698	0.978404916209629	15	0.847185270519119	29	Tb.NPl	11
3.72464030388868	3.2247836642657	4.56845432832835	4.80582422370977	0.932208568249213	14	0.896122694759293	28	Tb.NPl	12
3.28799153109317	3.19963667795381	4.2114206147632	4.46197601579215	0.827728462226425	13	0.864911351832552	29	Tb.NPl	13
5.57271482612529	3.00726728870791	4.01249382709962	4.5450781418182	0.978740477112104	18	1.03335693336194	29	Tb.NPl	14
3.05236739671936	3.14817659760503	4.1097874366939	4.55721770023639	0.694456713688933	9	0.782114044283372	30	Tb.NPl	15
2.7699184338728	3.08617364154733	3.9431710381991	4.2078221229073	0.863128787011697	12	0.785974987811952	28	Tb.NPl	16
3.27531410216763	3.14579972213565	4.14892933630256	4.53438429798304	0.8140696246579	9	0.80329311381355	30	Tb.NPl	17
3.94118403520159	2.99146504148712	3.95057381144738	4.12035760368421	0.813652912132581	11	0.766816900580155	28	Tb.NPl	18
2.60458684144526	2.89897369344518	4.07211783832598	4.40256695836416	0.850592825725055	10	0.750699781565774	29	Tb.NPl	19
3.50332651612002	3.07412823308804	4.20502683870763	4.5281806687169	0.806158665871098	13	0.827038524346183	29	Tb.NPl	20
3.41057572725121	3.16930605376683	4.18550111263264	4.45940074726416	0.916026839562079	13	0.863197723859352	28	Tb.NPl	21
3.62738981189083	3.12177478794246	4.06985429863871	4.41899264148126	1.03231741945613	16	0.899917374022002	28	Tb.NPl	22
3.33050749360538	2.97662770064024	3.90472782753549	4.226843222614	0.874957515862279	14	0.802875613681216	30	Tb.NPl	23
3.10088054187107	3.1204213193405	4.18791696074718	4.4348588619728	0.607861346757757	10	0.708824338745447	28	Tb.NPl	24
3.24504160824212	3.09608421661304	4.03059957427644	4.28982042210228	0.839680959250709	16	0.818059737089784	30	Tb.NPl	25
4.59410812137874	2.95963185645218	3.95760375825712	4.3345751176826	0.900583271839076	13	0.821145926107202	28	Tb.NPl	26
3.13746404826527	3.11270687875541	4.10468634095521	4.4311626145663	0.912924957975952	14	0.871756244888452	29	Tb.NPl	27
4.09370480381208	3.10975287794339	4.02742538717636	4.68112801557865	0.903077104605142	15	0.898339740094291	29	Tb.NPl	28
5.04051180512961	2.96917342638778	4.05518076005114	4.42449900714628	0.874790663828046	17	0.863901070279684	30	Tb.NPl	29
3.59242357324751	3.0327204701144	4.06983847401273	4.4542662670965	0.844241815708028	15	0.856500822324236	30	Tb.NPl	30
3.28814420161074	3.05281716608711	4.12670017828367	4.41411651194654	0.943915510113299	13	0.807873561107973	29	Tb.NPl	31
3.35693793974204	3.0378694326522	4.32396144085612	4.50512609790237	0.829264337458263	12	0.811513322730426	29	Tb.NPl	32
2.85093968555264	3.07571239081914	4.06625903362802	4.24778118493385	0.808219958363664	13	0.777317132189076	28	Tb.NPl	33
2.67099504798941	3.05048577341979	3.96516932911347	4.25322455547292	0.857997538855025	10	0.73255913728524	28	Tb.NPl	34
3.00388860632289	3.21695132285087	4.33983741624295	4.63942703946871	0.966042853056221	9	0.814805185220544	29	Tb.NPl	35
2.28408686106366	3.09504652334811	4.25040990100755	4.52253269643517	0.790409168738239	8	0.821012135712741	28	Tb.NPl	36
3.52400406503926	3.06198787793433	4.21675331838655	4.48280858650656	0.842458561015209	13	0.823612714792093	30	Tb.NPl	37
2.97270598424348	3.08454775448409	4.28087969806008	4.69531728264127	0.805807405626752	15	0.790627989076638	29	Tb.NPl	38
3.23791000909505	2.94732743773331	3.87784491093975	4.21670417067734	0.896821183799773	16	0.898024130547597	30	Tb.NPl	39
3.15840123037255	3.00041695055788	4.07566314663805	4.33514626539956	0.836700443339482	16	0.825364496525306	30	Tb.NPl	40
3.59242357324751	2.96809609725721	4.34823754083325	4.68659089855748	0.844241815708028	15	0.856500822324236	30	Tb.NPl	41
3.50414345337489	3.15794509198221	4.05749245814338	4.40069765603438	0.864509245831066	14	0.884406781810264	30	Tb.NPl	42
2.91463107240639	2.98995902312121	4.0256992494467	4.24159001018244	0.863882552239694	13	0.860995418792658	28	Tb.NPl	43
3.2178740633883	3.14865228855439	4.2664053238213	4.39966927621145	0.853393700660059	7	0.799387915725685	29	Tb.NPl	44
2.74119153602926	2.96980391954934	3.82605607034064	4.08574528066611	0.947594276132228	12	0.797576508868735	28	Tb.NPl	45
3.10968855090075	2.97206670886616	3.98147848683399	4.21012172557766	0.846769609880294	13	0.79633202078655	29	Tb.NPl	46
3.07970942169734	2.99064853230363	4.14272143037731	4.70758803221973	0.876478598863454	15	0.811218653432594	30	Tb.NPl	47
2.86761999085729	3.06956609400719	4.13371086503565	4.59147438875599	0.820897742211516	13	0.83622354969106	29	Tb.NPl	48
3.44138565337267	3.01866637750283	3.88595870621693	4.3158774989945	0.843131448126405	13	0.830265752164662	29	Tb.NPl	49
3.39119548398746	3.07582499042412	4.18216755692586	4.58619277696763	0.822285882823557	16	0.853307544803398	29	Tb.NPl	50
1.83363267375858	3.15924543561408	4.08242010537966	4.45996926775624	0.867923373894813	9	0.839864453257919	28	Tb.NPl	51
2.80988014868797	3.05106931514624	3.93400309683862	4.39231707746484	0.825870951333652	11	0.768611226832216	30	Tb.NPl	52
1.92246558790118	3.12121261916424	4.10860876234524	4.31591200968801	0.728245411306264	7	0.802139805804494	30	Tb.NPl	53
3.59242357324751	3.04035683299331	4.31317353988153	4.54572154483045	0.844241815708028	15	0.856500822324236	30	Tb.NPl	54
4.64406529558014	2.94605685359473	4.02361396968666	4.28185511448113	0.895468994030757	16	0.854739312211035	29	Tb.NPl	55
3.15135948887663	3.05934854541176	4.17343833151827	4.59476148693776	0.841640070347381	13	0.787303006953695	30	Tb.NPl	56
3.03906521003196	3.12518917044641	4.19104712174028	4.4417669392183	0.812865810843466	8	0.833483269199682	28	Tb.NPl	57
2.85421881698652	3.03816567327011	4.0449299555714	4.41627634651522	0.814691008870598	12	0.798368875910814	29	Tb.NPl	58
3.52400406503926	3.08744279973089	4.16336941691922	4.4630780181574	0.842458561015209	13	0.823612714792093	30	Tb.NPl	59
3.07970942169734	3.05196790356032	4.10588554879056	4.599910928104	0.876478598863454	15	0.811218653432594	30	Tb.NPl	60
4.52730564604158	3.13663937486438	4.13523183263664	4.35514617066548	0.807842274495627	8	0.826742460859451	28	Tb.NPl	61
3.15840123037255	3.02923416068712	4.14595529677567	4.42207036976276	0.836700443339482	16	0.825364496525306	30	Tb.NPl	62
2.39247363542145	3.03807043793274	3.8660651547179	4.29491411927328	0.821039786841604	10	0.823879751322452	28	Tb.NPl	63
3.18844569515971	3.10537292144203	3.97268326324559	4.20536341505146	0.85185585678941	15	0.820983280646321	30	Tb.NPl	64
3.33303809566802	3.02698531836259	3.89643785859142	4.15220499906475	0.800759237347439	13	0.797985788369517	28	Tb.NPl	65
0.573504742811419	2.97940051409703	3.7643426619651	4.03242365769378	0.48425520160922	5	0.592651915679891	28	Tb.NPl	66
3.08180972695136	3.05308164278038	4.06557787668995	4.3292022421495	0.842742973416927	13	0.813343181908255	30	Tb.NPl	67
4.61132472838796	2.9344448926015	3.98832866607842	4.20067901191383	0.840437237526705	16	0.847007391180186	29	Tb.NPl	68
5.07581652138767	2.96031678045034	4.06391258684332	4.36835435768646	0.901269525625743	17	0.853412195675599	29	Tb.NPl	69
3.64090493152978	3.07537498399411	4.32632990975879	4.48857401215325	0.852070741371193	17	0.832813452359794	29	Tb.NPl	70
