A/J	C57BL/6J	129S1SvImJ	NOD/LtJ	NZO/HILtJ	CAST/EiJ	PWK/PhJ	WSB/EiJ
0.00161032321693617	0.0026932940968434	0.00245263468923774	0.00275586941413678	0.00248499959396536	0.00253324485859698	0.0026068740423308	0.00259591318615726
0.0013434164609805	0.00251051396151828	0.00225093139141087	0.00260640167444615	0.00226876681631519	0.00239727865775395	0.00251312798231636	0.00250923495339571
0.00122927112633074	0.00247988112085749	0.00223887096615256	0.00259441417618583	0.00239298565675526	0.00236042366463828	0.00252167425264848	0.00241223749024842
0.00119588448688229	0.00248698584936302	0.00223305162633523	0.00253671986413883	0.00223957380586484	0.00236643849206919	0.00238391189180276	0.00239774847681116
0.00096908080542074	0.00243876454052051	0.00227965137305005	0.00255555671879776	0.00225747164836938	0.0024469927666422	0.00242394894318219	0.00248469519696083
0.00157983019179447	0.0025231792603084	0.00232556170039509	0.00262029163685573	0.00229249080201159	0.00243620598902683	0.0025334369118026	0.00250638504968352
0.00170829671852854	0.0026034077366628	0.00243067250660609	0.00260516910601544	0.0023448291665461	0.00261991442574113	0.00256797985558405	0.00241150370019362
0.00158028505812843	0.00252866536724412	0.0024306570685031	0.00273206742822271	0.00231172052005488	0.0025742900595533	0.00254311389887528	0.00248655071437931
0.00153580084959873	0.00253804112045051	0.0023908071783199	0.00264162666840778	0.00221024477225829	0.00263663929809104	0.00254275516332663	0.00250944462702204
0.00155229344682116	0.00247854330816192	0.00233092520888208	0.00261876275606863	0.00227282209772312	0.00254514182830264	0.00250471012806065	0.00250350537761618
0.00176494834505715	0.00250673025163395	0.00236182780335466	0.0025466664367143	0.00221612631912326	0.00252300152491068	0.00245327411046523	0.00246124007770936
0.00176737312468546	0.00247640437774612	0.00238665334512094	0.00261064394533326	0.00221485832272346	0.00256237026610026	0.00254583146107925	0.00241615014772421
0.00179529576268723	0.00253121824529911	0.00238110805453313	0.00260442604303851	0.00221141670716973	0.0026653391832339	0.00242322507721031	0.00242150335406389
0.00233945805405784	0.00261930207460358	0.0025289375431507	0.00280680518662745	0.00228293948679675	0.00268873796259162	0.0026011059570363	0.00255530286954266
0.002444876343062	0.00264820862802734	0.00244174803988064	0.00274556302937349	0.00239193374787817	0.00276195578893936	0.00266474068034024	0.00252852905798681
0.00249330740735677	0.00272750298625479	0.00247090136382664	0.00279926737639307	0.00232243021776273	0.00272051117809034	0.00256457943182715	0.00251165138644422
0.0024479345108336	0.00259700780092513	0.00250683634275556	0.00280036503046197	0.00232713222828709	0.00276109952132724	0.00259527410579779	0.00254302173327825
0.0024827292159812	0.00268482212178594	0.00251304628337602	0.00294069076572199	0.00234725219174716	0.00276284456075579	0.00252030484751918	0.00256764029460516
0.00280668751052009	0.00278665360256646	0.0024850465089905	0.0029476094575746	0.00245484703454343	0.00274558153737686	0.0026026897322136	0.00262184540445466
0.002784473691626	0.00282360676102493	0.00246211763607869	0.00298405613700389	0.00244497544846321	0.00290069469848699	0.00262552890067815	0.00267851144443845
0.00278445056093203	0.00271514989086978	0.00254435601363259	0.00299189800547204	0.00247211576238358	0.00281202973754947	0.00267963404834661	0.00262218942553956
0.00274190814400151	0.00279553059520461	0.00245648703786412	0.00295494012362356	0.00238587360152054	0.00280712838626767	0.00265058716005808	0.00265484274588288
0.00288517517431296	0.00285537863650761	0.00246486426407588	0.00305628726990553	0.00244420984378649	0.00284630867384141	0.00268822348122033	0.00276372523241175
0.0028564930138029	0.00270609766269594	0.00252163780426234	0.00313275486383259	0.00243235802968508	0.00281438990745849	0.00275193659943096	0.00270160037928019
0.00275377716502925	0.0028213774609249	0.00256745077477322	0.00300498233670973	0.00243256932133775	0.00291637067218759	0.00276679335127527	0.00272982280002358
0.0028049815534791	0.00275647463143444	0.00250892930268802	0.00308700769686765	0.0024904892567009	0.00274453871254967	0.00267903748787273	0.00280043329312495
0.00279855041033109	0.00283947145977245	0.00251590639907793	0.00306461938885592	0.00243875070347312	0.00282204372449203	0.00262044041593951	0.00270919763933266
0.00287310927255888	0.00275882859115029	0.00250477815890988	0.00300876380160202	0.00250622713990862	0.00286512834041428	0.00273796549671949	0.00268806820739145
0.00278896455601604	0.00256707633305635	0.0025536473730278	0.00296192254725496	0.00242817112314367	0.00268366902652786	0.00266172213521502	0.0026653875409434
0.00275596263682409	0.00264098598454132	0.00257812790816925	0.00308312754783454	0.00238983574450107	0.00277446922046988	0.00271562541006414	0.0027468287876069
0.00287896920710386	0.0028295191412256	0.00263363500161301	0.00283233331356254	0.00239474350094719	0.00283669759372901	0.00276589636843248	0.00293464876823641
0.0028705249186468	0.00273410896775857	0.00256181320656294	0.00281856017382582	0.00252430145905431	0.00276910044683563	0.00274911239068836	0.00278603055703897
0.0027458159675085	0.00275815114524505	0.00268170502216366	0.00280156462871194	0.00258599282258446	0.0029029917674232	0.00276674621801609	0.00283689042988964
0.00282566006832069	0.0027712941274036	0.00268613682533727	0.00293272095199179	0.00261399391864284	0.00285592656448774	0.00278875225011083	0.00290560825694483
0.00299458430871095	0.00282610115977008	0.00270536443722841	0.00293771204698328	0.00255480434865422	0.00278873002229639	0.00286103010209558	0.00294030987568576
0.00315619058158056	0.0030390776080705	0.00273138504041567	0.00286291706032187	0.00268442753357614	0.00293321355609614	0.00285065212911265	0.00290189444884251
0.00335112912705724	0.00295518276995589	0.00272707313875534	0.00295208688133987	0.00272273958471325	0.00296438098334507	0.00305883952241927	0.00304137130835947
0.00340254878822835	0.00304672121571669	0.00260539922414783	0.00291749196818104	0.00271307370704848	0.00290288726777646	0.00292353792012161	0.00311714091274628
0.00331157114382856	0.00298549961648776	0.00280565139653117	0.00304558950103604	0.00265961531624377	0.00311120585708268	0.0028340861525909	0.00296615666695876
0.00336434990175766	0.00304718427993462	0.00270318520911737	0.00297738460546085	0.00282882397133285	0.00313174751847727	0.00300003870793877	0.00338435605072056
0.00336617208547271	0.00307394309431792	0.00266130476358852	0.00303975739936367	0.00264465593065714	0.00307415220784724	0.0030156670132467	0.00281201641164616
0.00319753676240374	0.00299729920304387	0.00277835563476822	0.00305889004770188	0.0028245204798765	0.00306367617157735	0.00301056915199153	0.0030960625081191
0.00316720765786343	0.00294953572430898	0.00272963117207064	0.00287999455743875	0.00281547193990143	0.00300305931301681	0.00277103334064499	0.00296272364053469
0.00308192325792828	0.00306750421625966	0.00271611075143876	0.00290109133632469	0.00277002880593831	0.00298848710022597	0.00270079058197748	0.00297933059087307
0.00298494211110761	0.00295283840872251	0.00257918275248545	0.00285787093932069	0.00273135666408593	0.00285898085736048	0.00281560159795801	0.00288544266977987
0.00305190930885819	0.0029852686570613	0.00278777786699866	0.00299285683116091	0.0028887181898367	0.00289322644065324	0.00275813754228548	0.00298209596936493
0.00300780650149658	0.00298862497989117	0.00266825528172637	0.00286491633964176	0.0027079686351282	0.00291674388122528	0.00286065683396688	0.00284970540838025
0.00311522760366396	0.00296265467994291	0.00269322778348334	0.00285355935409995	0.00273900571993825	0.00276825900677947	0.00289898390000905	0.00282187735325529
0.0030372484440509	0.00283855119779163	0.00271287679338434	0.00283861320192455	0.00289467885290315	0.00291224069169168	0.00291675624309069	0.00305648237024196
0.00292304561681902	0.00295467523383708	0.00268405450423108	0.0029327640445291	0.00279144025374554	0.00287835786076746	0.00272053128275727	0.00311064733256898
