A/J	C57BL/6J	129S1SvImJ	NOD/LtJ	NZO/HILtJ	CAST/EiJ	PWK/PhJ	WSB/EiJ
0.0338317089576662	0.0264642294815456	0.0219544386279084	0.0274092980305494	0.0249235625550885	0.0249358862328747	0.0269233617321622	0.0276335285599382
0.0329076308944201	0.0281908898489739	0.0212577635161086	0.026001113434268	0.0244965425335341	0.0244363988159654	0.0258703079828126	0.0308168417389703
0.0329205261997248	0.0264285777180803	0.0200516939503479	0.026110399343126	0.0233799968382733	0.0234635980421076	0.0250462697817913	0.0300281474168746
0.0228850260548624	0.0249762769581908	0.020859912776774	0.0248862061919761	0.0226248367176162	0.0233034806137707	0.0244445837787064	0.0280315624253393
0.0240795275080258	0.0253504139400438	0.0205207254303567	0.024223085051515	0.0227343398631795	0.0231124409979472	0.0255892491341145	0.0280901100116013
0.031458850992086	0.0257345565616852	0.0213115964439579	0.0247665103153933	0.0222940846888694	0.0245295516114342	0.024509621435122	0.0299259570363197
0.0318552483632397	0.0268658319751653	0.0218039590509461	0.025283838385715	0.0233016340074228	0.025713695824466	0.0256334727496641	0.0294114855534041
0.0336912455943671	0.0265146162106206	0.0215617528219383	0.0245593429086639	0.0225753819711473	0.0246601614098472	0.0258850084027801	0.0307546712820259
0.0336584975616884	0.0253703196201009	0.0207511485496173	0.0241211872070304	0.0231435609254687	0.0247976129334982	0.025450728892835	0.0305741850123662
0.0356273532959714	0.0259489354550498	0.0203563540100496	0.024021373471675	0.0215101873393857	0.0254598351665563	0.025661822232289	0.029690447875396
0.0387260953541433	0.0260965967014249	0.0212038327252792	0.0242468502604885	0.0235792886747789	0.0254219780988713	0.0260301898471999	0.0308748038783673
0.0379361565325571	0.0259143228788865	0.0214036555718443	0.0234659342277993	0.0227948088592104	0.0257966083856063	0.0254566951142588	0.0319745014032522
0.0397845882583928	0.0257053761022246	0.0209737927612301	0.0242920101539992	0.0248539303789302	0.0253272211851255	0.0260597782740251	0.0322487733601563
0.044133249961079	0.0272634862091529	0.0223764512278403	0.024973842788514	0.0241162273195714	0.0254682072996028	0.026800799343104	0.0331143505029468
0.0454835168777043	0.0262240074321599	0.0218609049656464	0.023801516050876	0.0244103633428532	0.0261654620486855	0.0275128611154477	0.0331100320768854
0.0447075595129031	0.0266609890879297	0.0220273735162876	0.0237852217832288	0.025001740144967	0.0260030880170817	0.0278974673153947	0.0332187517604216
0.0446844782416736	0.0264913797276334	0.0225843123108879	0.0239125940303932	0.0243414444691076	0.0249896193854101	0.0263433669492789	0.031380302678861
0.045713193365885	0.0265113623451878	0.0230181816958237	0.0251806211679496	0.024461664643988	0.025622547738275	0.0279618231822109	0.0317245858815969
0.052008399359145	0.0275844409094694	0.0229988810959643	0.0260518123086483	0.0243888369170154	0.0271107468568757	0.0278018849175942	0.0321867158542564
0.0562009332500089	0.0276949316880255	0.0233135270554756	0.0269944009246673	0.0265197021969951	0.0278370167666898	0.0285042237862856	0.0327319499969696
0.0491983622061288	0.027410431483109	0.022759852421119	0.025495770097846	0.0256837486625794	0.0273639115402609	0.0273424651612965	0.0322684928975814
0.0432098852240867	0.0272067332485285	0.0218956562786343	0.0244226406192698	0.0241132809456332	0.0255280815733022	0.0269315037786802	0.0315048095274623
0.0433318407711777	0.0258640417026452	0.0221430789661582	0.0242788470391542	0.0244381801959461	0.0262092964540196	0.0272648638616	0.0326786674016483
0.0439416295774112	0.0269622540581068	0.022372095537023	0.0251918881417318	0.0242949483240608	0.0259734836109555	0.0271703469273087	0.0320843894206446
0.0431039538005471	0.0269787209040224	0.0225034359366475	0.0255147893325618	0.0240706072696354	0.025921806309243	0.0273072682076531	0.0336662560275534
0.0438155527939064	0.0262858560931736	0.0220476833061685	0.0244943128233666	0.0237731270699195	0.0256998910416158	0.0272817984212426	0.0315992032012699
0.043670179985027	0.026722594422812	0.0222085424433695	0.0242817263809827	0.0240976111575323	0.0269182883459819	0.0268822742590565	0.0321511251219207
0.0479697103517271	0.0266970775465343	0.0231295109023911	0.0249877373400476	0.0248838672722614	0.0259913062046606	0.0280798222937783	0.0327218024640459
0.0527893193552702	0.0256056933010399	0.022096529959723	0.0255947534332864	0.0250638882836167	0.0259240195194657	0.0278454948806772	0.0320508841722399
0.0523284396680973	0.0270201270627994	0.0231085687114943	0.0259785572390442	0.0251595511659125	0.0271525479936899	0.0279249550602998	0.0334789560547317
0.0514194684386316	0.0269784474180704	0.0237963326323508	0.0245712276248444	0.0255155791883037	0.0285635505072021	0.0279067568577414	0.0342855665634094
0.0510102303749033	0.0265503878673962	0.022654355031271	0.0250123459308935	0.0250800165757787	0.0274993116374838	0.0278551345534261	0.0343191067144031
0.0502777507746812	0.0273124014225045	0.0236160175828326	0.0259896206057635	0.0262627360372217	0.0267121681495185	0.0280275777651377	0.0348632963932377
0.0526917717575017	0.0279597549346255	0.0232938385640633	0.0251634515530878	0.0254291137201337	0.0268471595921781	0.0275855872513425	0.0342257790710235
0.0534103918946582	0.0284568850040574	0.0227566956861094	0.0256026040850026	0.0252651844619373	0.0269652096813411	0.0275183371189759	0.0323122132784276
0.0509346105414233	0.0284667340018397	0.0227616773655464	0.0258730872052674	0.0248800317916055	0.0279817631042948	0.0273728713250468	0.0334776639978494
0.0449659431868438	0.028633178563962	0.0224833137325868	0.0249284566052496	0.0249807580261251	0.0267469112033096	0.0282043353673799	0.0327158785838703
0.0453293307532602	0.0289706452539295	0.0232363286256685	0.0252287808532605	0.0243531733094212	0.0258343038298427	0.0282545166553979	0.0331288276516099
0.0446405268079271	0.0293480500025343	0.0217597682273285	0.0245188589605657	0.0240833117173736	0.0270327473306384	0.0278709677713128	0.0334769460516059
0.0449156560598868	0.0281341622832475	0.0227804242425432	0.0251077472485356	0.0245806423702095	0.0270763974378847	0.0292272823659497	0.033333475256307
0.04536235559152	0.0272926342588728	0.0225818566020519	0.0251728567736588	0.0237651936084307	0.0256893128585452	0.0286750882723173	0.0326657299241649
0.0461150470168801	0.0275429622110351	0.0232477778261756	0.0253617754065228	0.0259925495119298	0.0274149519875306	0.0302376639253284	0.033902608325772
0.0465401504124688	0.0289264426932697	0.0227897844736646	0.0245495945424413	0.0245170199031164	0.0262504585870243	0.0280265987256421	0.0333317160421765
0.0463070058657135	0.0274747256305532	0.0222170929740266	0.0241910043841218	0.0249752560349828	0.0263267285065491	0.0298710841425709	0.0325411715317877
0.0466503365482059	0.0279710645518393	0.0222875995737105	0.0234541488736983	0.0246646836933393	0.0257786630271352	0.0285921784070575	0.0310206026630965
0.0476802981298346	0.0282274852620198	0.0224929091053529	0.0258994669846631	0.0255935567838586	0.0260240557214038	0.0286095195394468	0.0326455162919364
0.0476793867781879	0.0269235696769763	0.0225736252956203	0.0241797407577906	0.0247777267535032	0.0252256555845794	0.0296395065916775	0.032438070820163
0.0471274667427734	0.0276581245000158	0.0222016760342981	0.0248685404570766	0.0255683554396389	0.0262146330703983	0.0294770173026081	0.032969003071903
0.0491460297693348	0.0285636636888543	0.0229367434400991	0.0249170012051882	0.0251432165155678	0.0270810391721811	0.0293461254274215	0.0320903751288557
