A/J	C57BL/6J	129S1SvImJ	NOD/LtJ	NZO/HILtJ	CAST/EiJ	PWK/PhJ	WSB/EiJ
0.0217218341342114	0.0884543383098856	0.073179858356161	0.091921842646405	0.0787074252250609	0.0853324274556658	0.083626110563715	0.100636438871856
0.0169811951670524	0.0890785182536206	0.0684026612054623	0.0906672136964512	0.0774379722115187	0.0802573298273725	0.0817310079798445	0.103478774431585
0.00943427489098609	0.0890324475157628	0.0696258266737835	0.0879414124155624	0.0804610190108535	0.0792686042990357	0.0822978355507815	0.100400614393068
-0.00337685922541318	0.0851234596875586	0.068828821331733	0.0885773187104331	0.0795947389444912	0.0769015035466073	0.0807524086280169	0.10012978826195
-0.00328431546479393	0.0835711183688334	0.0695260413704327	0.0870963385451061	0.0737059507593943	0.0755757123301918	0.0799796487271396	0.102818305357276
0.00615944699668015	0.0864508905609926	0.0711873626063725	0.0913574154756358	0.0748871814198868	0.0834732677783679	0.086046847981423	0.101888962041036
0.0106439445581488	0.0879386184756994	0.0735735775609283	0.0928677371308671	0.0786094723324993	0.0854109849652693	0.0847993367485492	0.10148128961654
0.0122304323835923	0.0863943093425131	0.075148251479102	0.0911143024828801	0.0736404372476983	0.0837376432566674	0.0807824826651586	0.10485900174788
0.0134320436304884	0.0870213350125619	0.069907744118027	0.0888061430287712	0.0750255770402215	0.0811601403279131	0.0811246465397739	0.105835028322013
0.0146339905535776	0.0867626813635537	0.072332593770583	0.0879635092325149	0.0766323618135588	0.0846315413669505	0.0834908307911889	0.102062947594173
0.0141979736681607	0.0833681123671008	0.0699525117370751	0.0834192757675577	0.070979577503909	0.0794653040691011	0.0824042449324833	0.10132192184985
0.0149835123969546	0.0822158125840358	0.0706488292051593	0.0854594475547864	0.0723599405817522	0.0825697361948122	0.0821699518664513	0.0972059024133127
0.0129204949546466	0.08054104258232	0.0716795382200113	0.0843271027572949	0.0755933906092537	0.0818751755779044	0.0860925932918818	0.100841604070571
0.0422940101507659	0.0811530355845327	0.0690055528363146	0.0766968732619956	0.0728262945938512	0.0810769641511274	0.083717516250189	0.100207728442598
0.045246432772445	0.082962455016834	0.0725945322990726	0.0793446471691638	0.0766415547924824	0.079223734175602	0.0849040207780036	0.104458812791605
0.0482471074219702	0.0812467419296906	0.0711409815326747	0.0768283395795709	0.0747967173413971	0.0801863448995736	0.0834162965630733	0.0989906395184677
0.043399520721049	0.0825259954176017	0.0721712552940208	0.0772289195676447	0.0717438274352739	0.0777860410431585	0.0834992463217267	0.098270621398626
0.0447024254874705	0.0816130216360255	0.074335812649933	0.0796455791857979	0.0766211273182637	0.082298314082308	0.0861140036053489	0.0984858220110024
0.0405138874276786	0.0857017380033049	0.0756582554957544	0.0818571340341876	0.0766177205543529	0.08641546209363	0.0864385356923591	0.104773621477217
0.0626045277743843	0.0862474854873978	0.0769455555393582	0.0815116417317188	0.0777952803789257	0.089525124405698	0.0881483196917627	0.10219151595019
0.0307561323581532	0.0770300003828109	0.0711163131076726	0.0783960515013878	0.0756093101878599	0.0834776076888828	0.084322618478004	0.103699136874708
0.0180849277328152	0.0789275753665127	0.0700356222939354	0.0726591261179353	0.0740746579965822	0.080163498633422	0.0811610802019824	0.0972445192401378
0.0179698173498842	0.0774446190833286	0.0682359003289067	0.0767338882789759	0.0720296455110176	0.0768709789109401	0.0806839910862001	0.0994729627768102
0.0212620752648146	0.0780640657058345	0.0703097405094831	0.0759998562125086	0.0714557515234619	0.0747336676323229	0.0834891800845952	0.100248359983667
0.0161795547859139	0.079813112336647	0.0724519380961987	0.0773034082621689	0.0714119792913609	0.0759187903369318	0.0813643878380999	0.10144120680857
0.0150538091033275	0.0811881176242277	0.0703385676233822	0.0740936780654856	0.0736419377838418	0.0770649736902369	0.0809032196623979	0.102101926735692
0.0208621783351039	0.0802783099841706	0.0684096125177494	0.0777100578256816	0.0723038265517076	0.078300828274225	0.0825049265884991	0.101691237501717
0.0210157187883642	0.0792314326499001	0.0673666153135099	0.0737953179575479	0.070436020425539	0.0809034826029143	0.0817345005095395	0.0957729004688001
0.0368757974823152	0.0813967595284943	0.0732529660679384	0.077192758294449	0.0756143309086199	0.0855137965997784	0.0857302232886886	0.096769073900146
0.0377889184492825	0.0793125054973466	0.0735472289854068	0.0793751653484185	0.0743619636047721	0.0827483704547129	0.0865127487875569	0.0979434578072076
0.0420106681315645	0.0807528773946747	0.0719123912541402	0.0717223426217315	0.0733872685612209	0.0803644888303268	0.0816338625819879	0.0930945158844603
0.0468210828925898	0.0782924080015472	0.0704173848077139	0.0706892731561217	0.0735371451296059	0.0771945928371434	0.0795491051476977	0.0940085273051465
0.0434031242611135	0.0773327922155135	0.070441596558022	0.0679534973011904	0.0686499975770762	0.0792087635794227	0.0792491632753403	0.0902465379789401
