A/J	C57BL/6J	129S1SvImJ	NOD/LtJ	NZO/HILtJ	CAST/EiJ	PWK/PhJ	WSB/EiJ
276.193447396156	-1.88038054681391	0.630096222709169	2.64811383010795	-0.169959565646824	0.688899983930245	0.990842444660327	-3.86250027084218
277.233350786609	-2.17271533626333	0.844328846565249	2.64629116853657	0.034727729216962	0.795491359701386	1.25009438229278	-4.7086766227858
315.447182083388	-1.94351943613039	0.86632515398426	2.50617408934672	0.0241528400811945	0.507089347639967	1.2417279862833	-4.63151875156377
283.779351337481	-1.83044983723327	0.923615931613759	2.62649322847836	0.282642286595081	0.310623785583767	0.776196309960292	-3.99785166007945
271.40285424742	-1.62139627191961	1.15190199368529	2.82745449104693	0.396598908351276	0.502787646344093	1.00374693557782	-3.85359010763548
300.79337799773	-2.2837593342646	1.09798400321321	2.84632097618465	0.270752549806669	0.598511002517542	0.645236983098572	-4.10371153026967
318.422550353498	-2.12325089248239	1.26656973602318	2.88469861962916	0.334036350315706	0.911546538102394	0.739781845378199	-4.10688879333883
286.61553034269	-2.21143801474122	1.17582151737246	2.72852349349337	0.187481597475183	0.765976797394056	0.580305312109569	-4.30153340123435
308.808940176164	-2.19058611004423	1.05382370413526	2.86083882404713	0.17454750090411	0.844255269100408	0.629387968027918	-4.11382608433982
297.870321108524	-2.26688004086179	0.998518009861481	2.77905340307647	0.101360706126501	0.879705753829123	0.750262631370154	-4.38821887792684
289.472451727601	-2.01627015292107	1.16949830039201	2.17746794680472	0.422551603719113	0.671049882795615	1.31479508428213	-4.10089093234731
289.794776104983	-2.0955316512217	1.32790108623356	2.24484571167532	0.586179639432473	0.659320417339497	1.30924011117377	-4.03048374833114
303.467059576669	-2.09514321767164	1.36660544448839	2.24421282855324	0.502473160429664	0.646431756471813	1.35776194295563	-3.92820577531135
297.892738538443	-2.02433334327775	1.31877791017901	1.28296496087573	0.325550390321905	0.597935114365585	1.56305332125324	-3.82258279455826
323.002817767593	-2.00872776738723	1.38071616004659	1.09129662007211	0.240423619459484	0.742545826772859	1.70758057507863	-3.77386961512076
300.880364284052	-1.9529840070475	1.19185116681317	0.938873820101537	0.0562485274293109	0.729703883949922	1.40431558936695	-4.00075330020749
284.20605833207	-1.92544204127715	1.35077096915485	1.02414616993805	0.074783341365107	0.701058991763593	1.48077192249441	-3.95987834434341
334.021619579589	-1.92669644174418	1.28998709426202	1.0512327368248	0.104219778517779	0.903493509378872	1.7708499626421	-4.2891340571866
322.999555722474	-2.09903993126698	1.6116759993833	1.2048678251631	0.088543156455224	1.00325852100187	2.03574942158199	-4.89792661252697
308.952220181362	-2.13478145415752	2.02135482172592	1.33239437469598	0.204655771171844	1.42601094932301	2.0946025877336	-5.00160004777333
307.03966643853	-1.89840341129026	1.6583178113922	1.14853950794836	0.371605222794356	0.96612325584632	1.70684221908864	-4.24120727857481
305.947506729705	-1.96295886277563	1.42756980643111	0.977701359027386	0.185398697507506	0.864566668159232	1.42123942190402	-3.46835545868637
293.566311333915	-1.95501005996371	1.32407329253882	1.02069844704905	0.0785605751607272	0.804103670618775	1.55610841699791	-3.44465902134697
297.024634331899	-1.84347000480507	1.26437110646788	1.0393880248811	0.0628344267644174	0.787931132240439	1.57665522339885	-3.57994618727982
307.621386614934	-1.87283950959223	1.47408759802119	1.09020268147109	0.337517551121223	1.05031869376383	1.66829124220141	-3.40169892272504
287.835453341473	-1.97901389479985	1.32332824525634	1.03119374990185	0.10532200359848	0.808143669021687	1.58432366467246	-3.4459907579317
289.152877351624	-2.02697955024308	1.27039968119449	1.05841678409884	0.18357898945743	0.926749582868051	1.52839090754955	-3.523094116602
318.606075414304	-2.12328875749325	1.47752380429695	1.14058959104306	0.0893002968106866	1.34280978295368	1.88886616843155	-3.8504281031458
325.9424057866	-2.40690032888916	1.50846794628669	1.12480582279323	0.0212326240755055	1.52391211411428	2.1605400292296	-4.32760111071456
344.534222283283	-2.22040481738933	1.645671220399	1.29406669032725	0.181606041911195	1.45991748467286	2.36474237517012	-4.26651108615462
273.696094100642	-2.11064711293699	1.39494305405659	-0.00442448522222807	0.0133027860530942	1.49665897507106	1.63480856110205	-3.07839628125186
