V1	V2	V3	V4	V5	V6	V7	V8	V9	V10
4.92638355391967	3.24199707053808	4.17673504092323	4.43751483533321	0.876923507808897	12	0.830275370509334	29	BVTV	1
3.96692116023773	3.25053903594375	4.2370086692237	4.52646074875724	0.73231895036256	3	0.702594058305718	28	BVTV	2
5.22525647009226	3.38480660187692	4.36695512002056	4.6087673532127	0.893378699591353	10	0.854648560504826	30	BVTV	3
5.30609338712648	3.28483840641255	4.34154862016131	4.82392036248478	0.893876991054307	10	0.786930516202443	30	BVTV	4
4.89090640596418	3.2323566758165	4.38473474256366	4.67976200548735	0.86754650044503	13	0.844087528049159	28	BVTV	5
4.17332523588856	3.0904685885361	4.00980281605158	4.36631203005179	0.75306103715348	7	0.719352599378891	30	BVTV	6
3.91180135840339	3.10712072400695	4.20716232829431	4.47354849225473	0.76551042650443	8	0.7363261550401	28	BVTV	7
5.28534055665261	3.23848413489715	4.29449217349835	4.56134811993785	0.807093714018344	8	0.766591681479875	29	BVTV	8
5.27833024881993	3.30182082262855	4.32762942193632	4.78605602636049	0.839654528040532	8	0.7970837419643	30	BVTV	9
4.84334862711725	3.46547370436485	4.43055238525002	4.72678392443314	0.661666969913734	9	0.750466084001817	30	BVTV	10
5.22525647009226	3.30951424678452	4.25155971252475	4.59003353066752	0.893378699591353	11	0.854648560504826	30	BVTV	11
4.42727097222606	3.16382519313765	4.13736757744886	4.42911903828645	0.858015157364941	9	0.778281989749101	28	BVTV	12
5.27203461600673	3.2669185436002	4.25392719769827	4.64088908591581	0.849261923249915	12	0.7947247176872	30	BVTV	13
5.05096228468149	3.04628831344132	4.32969916018597	4.51048037384803	0.812245465413687	13	0.812849810877523	30	BVTV	14
5.21146773499428	3.10496540579667	4.22972435764142	4.58421860119482	0.856161999091863	15	0.825402997202612	30	BVTV	15
5.15171975165782	3.14566613459687	4.16112812006723	4.39207209527255	0.841422065385507	12	0.790224236098067	29	BVTV	16
5.14149078609097	3.23515409750434	4.27088304279118	4.5233397395078	0.819228238226172	10	0.805214634127786	30	BVTV	17
5.00023432135613	3.18003635214021	4.23726847516265	4.63925872186816	0.80310021667612	12	0.791982394790033	29	BVTV	18
5.12168709281176	2.90139797465806	3.89656150750207	4.28541514551022	0.813177696063814	13	0.761709778423081	28	BVTV	19
4.84334862711725	3.52346571565085	4.59283070398219	4.78732173735783	0.661666969913734	9	0.750466084001817	30	BVTV	20
6.65600338314688	3.33202254784906	4.54158617734148	4.97451686603571	0.824472533250415	13	0.802859684843498	29	BVTV	21
4.9645811880389	3.29104473985433	4.50525108829421	4.90850509244678	0.754199933730907	7	0.690991105701943	29	BVTV	22
5.05233236160471	3.19243255629958	4.15920866140872	4.58111364373893	0.93510457354184	10	0.806625732126192	30	BVTV	23
4.17332523588856	3.27478992498682	4.11448396865641	4.4917769195512	0.75306103715348	4	0.719352599378891	30	BVTV	24
5.18186021070638	3.13971495315215	4.23378566884294	4.45778991314504	0.832569742304025	13	0.781695103301339	29	BVTV	25
5.35350354684884	3.38553791169475	4.41303832570047	4.80019471886839	0.912417271921163	9	0.799121300833135	29	BVTV	26
5.00164910810182	3.14043661161507	4.090087046706	4.4156924784686	0.818127546037697	11	0.80804932526054	29	BVTV	27
5.21849851411478	3.29995284341158	4.43769732450631	4.81027997035657	0.877292469446749	10	0.776940302321867	29	BVTV	28
6.29387494030152	3.24227647830746	4.03048012973778	4.29642357684549	0.810693269336612	11	0.832693186612535	28	BVTV	29
5.99989882082687	3.38159394182482	4.49380277252964	4.9350905574371	0.838060618823137	8	0.783616086972019	28	BVTV	30
6.72717683752133	3.29134684488173	4.28288328740108	4.71060884649978	1.00542970748676	17	1.10872262980742	28	BVTV	31
4.66435853067933	3.17472292131764	4.21633201260766	4.73369414839477	0.894907877654052	10	0.752607282939846	28	BVTV	32
5.12100092294039	3.20768515052599	4.45568016374501	4.87211535170525	0.788897148473063	9	0.722950202731811	30	BVTV	33
5.25744740490719	3.23658243114075	4.2162650174312	4.62812012653581	0.82703947578132	12	0.803394741042322	29	BVTV	34
6.49803167689082	3.07096188508515	4.1636914672589	4.43518048115532	0.904133520342283	16	0.92946427297438	29	BVTV	35
4.84334862711725	3.4101017678956	4.60291672163448	4.92084760909901	0.661666969913734	9	0.750466084001817	30	BVTV	36
5.55075137939842	3.26976799635805	4.33550362433238	4.71182667733002	0.875317934410639	11	0.823899871940009	30	BVTV	37
5.17824682110746	3.21357460191486	4.2786421889664	4.53550952088497	0.86836932332347	13	0.800550682977683	29	BVTV	38
4.72665159916877	3.34710329629836	4.27438184366601	4.8534675667492	0.781051129664059	12	0.83154765495727	29	BVTV	39
4.93383803118412	3.25916572035477	4.19336128852613	4.53357408116879	0.769102253206804	9	0.746176576752266	29	BVTV	40
5.63044120336031	3.12832080926803	4.16072858603749	4.46584829487421	0.881303961606419	15	0.8907976591519	29	BVTV	41
5.27833024881993	3.30031200900302	4.38791637428089	4.67306098682027	0.839654528040532	8	0.7970837419643	30	BVTV	42
5.30609338712648	3.22302341647166	4.28844749231076	4.53555747000027	0.893876991054307	10	0.786930516202443	30	BVTV	43
4.59663140328138	3.28355214149931	4.18890321820694	4.40741464630945	0.778053526367619	11	0.707525687375189	28	BVTV	44
5.05905230942837	3.18827593414288	4.30136805601717	4.59697044302071	0.802093799076765	13	0.782349698752328	28	BVTV	45
5.24440904423932	3.12983124569762	4.14647993401157	4.46774575867051	0.846059430298392	12	0.825959029407808	29	BVTV	46
