A/J	C57BL/6J	129S1SvImJ	NOD/LtJ	NZO/HILtJ	CAST/EiJ	PWK/PhJ	WSB/EiJ
1.18519522145339	4.45191093843829	3.55127349776416	4.48320258169665	3.78560725964528	3.96098141552718	4.03320200462213	4.80076441010519
0.622029690745899	4.37599240133367	3.47241392336702	4.53270765004607	3.83013225523337	4.11988930768357	4.21046360940484	5.21246720954504
0.373681140313244	4.35825657961113	3.43852060247061	4.45065651611424	3.75891818061753	3.99313432685188	4.10936855690851	5.14347869312175
-0.362929485441554	4.23837259932905	3.43492130702528	4.33566062195076	3.63974787014678	3.5288309738871	3.88633532624031	5.02060193987899
0.0467995556323095	4.13151680158297	3.5011139159352	4.38313186437453	3.6118622253672	3.82954766524529	3.99841340528264	5.01344696518931
0.360325453849307	4.43719481319319	3.70346354836846	4.48071235851161	3.84662436452836	3.94947525827713	4.09908422547839	5.13454126872585
0.563944408972174	4.12010026109795	3.61169241688176	4.52175888067187	3.66530505158516	4.06779422150562	4.09007284231537	5.19763036401358
0.541340224122545	4.27273357297008	3.62524619360285	4.444419310349	3.67168399875392	4.00567301579012	4.11018914569531	5.10918541805757
0.538321469998213	4.11328631542923	3.78878649338559	4.49129750848057	3.92039160365278	4.06098909459283	4.19632154528793	5.19769743449554
0.380462913042551	4.39162052314879	3.43906034950411	4.48357800813129	3.75817156068289	4.26414282497791	4.11881092327878	5.34411360535405
0.474297583097972	4.18866580189352	3.41273108217055	4.00104960404236	3.77132828748157	4.01034569534226	4.11173821778336	5.00109221627412
0.675718918173244	4.19034827811676	3.47641310461654	4.12102538975642	3.68266550358041	4.06032298527867	4.28678963772094	4.90272024222847
0.583669518345354	3.97974817992557	3.43169228217021	4.09619104736436	3.67185536974088	4.07115679685414	4.16828049859251	4.95866532830681
2.41103328430786	3.99085391810006	3.68776825871478	3.76267396987638	3.49616049830645	3.97328048789052	4.0581807985985	5.09707154023477
2.31936612441667	4.15614220044767	3.63777376140932	3.74773496053504	3.72178418998749	3.93960896378213	4.15155100570856	5.06409008514255
2.20283490049026	3.94611832056291	3.37741053559431	3.67145248185542	3.57745729990385	3.88664691218494	4.00618372137042	4.99143280586189
1.80396425261754	3.90722660781158	3.43806178035725	3.71612256423572	3.62353867221298	3.99503369209276	4.09312324153883	4.92402343897842
1.84210669255642	3.97567601670791	3.72735410474861	3.92923409846581	3.76084816528229	3.9387143256372	4.26891660694766	5.14965366854367
2.04019360830611	4.26317908274265	3.67076048346868	4.05833500016976	3.87241777708042	4.08125813714161	4.34763928792837	5.27730295881605
2.7050879398213	4.31181618153583	3.83133263074097	4.04706531917294	3.7931191681909	4.40614579141973	4.29404446665677	5.05097279527107
1.00881804506273	3.97524322862355	3.68862830138535	3.92931174419418	3.76430070583655	3.94341531304862	3.98010792514728	5.11352561614056
1.16336778618336	4.0253871170461	3.45927812130335	3.68495708368917	3.54439282333142	3.80864039369595	4.25751519872743	5.00533051383054
1.02657294819116	4.04068739324521	3.47715256717628	3.71641985890881	3.65150699525482	3.88615557637292	4.09784756874351	5.01103586052874
1.05192347191219	3.84831992167304	3.43956568343464	3.67238377059616	3.37653459860377	3.91990469176756	4.06388091661724	5.01422435109146
0.939257668191349	3.90574292179855	3.46585071899901	3.74242356745	3.46772620581328	4.00194513820344	4.05649437878543	4.86654171740497
1.18976971906246	4.05277046224022	3.55312834376184	3.6726897769131	3.80535254511651	4.00173754572558	4.25850385266966	5.13845679270516
1.01873962025103	3.82408983666033	3.4958137354495	3.67013787872735	3.58853311937489	3.88873842505376	4.1138735576834	4.70161427181144
1.3521362364644	4.17357917485748	3.55042826531472	3.79725526135891	3.65765083342861	3.97876635325224	4.23447221336378	4.90042633479349
1.91688515811562	4.0325796983874	3.52163254782851	3.90411655252139	3.87774039301515	3.98762148186258	4.24123809374771	4.85490124414656
1.71152765071366	3.95912931206977	3.61087273941395	3.82814796689057	3.6948097010777	4.21272178630081	4.18060524742222	4.91358700254072
2.34452780915418	3.94446208481717	3.37444910514943	3.37378478661794	3.60438282388688	3.89742267578935	3.99233211488836	4.70811708585517
2.27303290944771	3.86693018962585	3.58349796205246	3.5391392377022	3.57148026906038	3.89342253429898	4.08504075804167	4.73277733236068
2.28556252158368	3.92386963926048	3.43742747731503	3.42359012404884	3.56567803046909	3.87443464616934	4.02686929898114	4.46173441249993
1.962899748893	4.0334513645636	3.33812304558769	3.47836572044621	3.42379503557414	4.08478684612184	3.93631541923769	4.71142661955773
1.79634427999707	4.05016399978073	3.66558672917293	3.43265891318997	3.49623449563103	4.00751961245343	3.98070139935281	4.47265242767154
1.93080296129753	4.05530157763632	3.49129973844377	3.49150101054663	3.50048566532029	4.05890361233989	3.95188114958401	4.68812321109606
1.11297303699287	3.94932083064943	3.2830533499551	3.40218798650624	3.50764346972704	3.87652190124265	3.95298153326484	4.60370471945644
